catalogNumber                                AA1620
basisOfRecord                        LivingSpecimen
decimalLatitude                              348526
decimalLongitude                            6284331
phylum                                 Tracheophyta
Class                                 Magnoliopsida
order                                    Sapindales
family                                Simaroubaceae
genus                                     Ailanthus
specificEpithet                           altissima
infraspecificEpithet                            NaN
nameAcordingTo                              Swingle
verbatimTaxonRank                               NaN
taxonRank                                   species
acceptedNameUsage       Ailanthus altissima Swingle
Nombre común                                    NaN
Estado                                         Viva
establishmentMeans                          Exótica
ingreso                                        2019
plantacion                                      NaN
sex                                   hermaphrodite
Name: AA1620, dtype: object
