catalogNumber                                AA0101
basisOfRecord                        LivingSpecimen
decimalLatitude                              348626
decimalLongitude                            6284212
phylum                                 Tracheophyta
Class                                 Magnoliopsida
order                                      Lamiales
family                                 Bignoniaceae
genus                                     Jacaranda
specificEpithet                         mimosifolia
infraspecificEpithet                            NaN
nameAcordingTo                                D.Don
verbatimTaxonRank                               NaN
taxonRank                                   species
acceptedNameUsage       Jacaranda mimosifolia D.Don
Nombre común                                    NaN
Estado                                         Viva
establishmentMeans                          Exótica
ingreso                                        2019
plantacion                                      NaN
sex                                   hermaphrodite
Name: AA0101, dtype: object
