catalogNumber                       AA1277
basisOfRecord               LivingSpecimen
decimalLatitude                     348416
decimalLongitude                   6284280
phylum                        Tracheophyta
Class                        Magnoliopsida
order                           Sapindales
family                           Meliaceae
genus                                Melia
specificEpithet                  azedarach
infraspecificEpithet                   NaN
nameAcordingTo                          L.
verbatimTaxonRank                      NaN
taxonRank                          species
acceptedNameUsage       Melia azedarach L.
Nombre común                           NaN
Estado                                Viva
establishmentMeans                 Exótica
ingreso                               2019
plantacion                             NaN
sex                          hermaphrodite
Name: AA1277, dtype: object
