catalogNumber                                      AA0555
basisOfRecord                              LivingSpecimen
decimalLatitude                                    348518
decimalLongitude                                  6284403
phylum                                       Tracheophyta
Class                                           Pinopsida
order                                         Cupressales
family                                       Cupressaceae
genus                                            Fitzroya
specificEpithet                              cupressoides
infraspecificEpithet                                  NaN
nameAcordingTo                                I.M.Johnst.
verbatimTaxonRank                                     NaN
taxonRank                                         species
acceptedNameUsage       Fitzroya cupressoides I.M.Johnst.
Nombre común                                          NaN
Estado                                             Muerto
establishmentMeans                                 Nativa
ingreso                                              2019
plantacion                                            NaN
sex                                                   NaN
Name: AA0555, dtype: object
