catalogNumber                                     AA0498
basisOfRecord                             LivingSpecimen
decimalLatitude                                   348519
decimalLongitude                                 6284417
phylum                                      Tracheophyta
Class                                      Magnoliopsida
order                                  Berberidopsidales
family                                     Aextoxicaceae
genus                                         Aextoxicon
specificEpithet                                punctatum
infraspecificEpithet                                 NaN
nameAcordingTo                               Ruiz & Pav.
verbatimTaxonRank                                    NaN
taxonRank                                        species
acceptedNameUsage       Aextoxicon punctatum Ruiz & Pav.
Nombre común                                         NaN
Estado                                              Viva
establishmentMeans                                Nativa
ingreso                                             2019
plantacion                                          2016
sex                                                  NaN
Name: AA0498, dtype: object
