basisOfRecord                         LivingSpecimen
decimalLatitude                               348412
decimalLongitude                             6284504
phylum                                  Tracheophyta
Class                                  Magnoliopsida
order                                       Malvales
family                                     Malvaceae
genus                                   Brachychiton
specificEpithet                            populneus
infraspecificEpithet                             NaN
nameAcordingTo                                 R.Br.
verbatimTaxonRank                                NaN
taxonRank                                    species
acceptedNameUsage       Brachychiton populneus R.Br.
establishmentMeans                           Exótica
sex                                    hermaphrodite
Name: AA0635, dtype: object
