basisOfRecord                 LivingSpecimen
decimalLatitude                       348445
decimalLongitude                     6284723
phylum                          Tracheophyta
Class                          Magnoliopsida
order                                Fabales
family                              Fabaceae
genus                                 Acacia
specificEpithet                     dealbata
infraspecificEpithet                     NaN
nameAcordingTo                          Link
verbatimTaxonRank                        NaN
taxonRank                            species
acceptedNameUsage       Acacia dealbata Link
establishmentMeans                   Exótica
sex                            hermaphrodite
Name: AA1125, dtype: object
