catalogNumber                                          AA0918
basisOfRecord                                  LivingSpecimen
decimalLatitude                                        348558
decimalLongitude                                      6284591
phylum                                           Tracheophyta
Class                                           Magnoliopsida
order                                                 Fabales
family                                               Fabaceae
genus                                                   Senna
specificEpithet                                   candolleana
infraspecificEpithet                                      NaN
nameAcordingTo                            H.S.Irwin & Barneby
verbatimTaxonRank                                         NaN
taxonRank                                             species
acceptedNameUsage       Senna candolleana H.S.Irwin & Barneby
establishmentMeans                                     Nativa
locationRemarks                                           NaN
sex                                             hermaphrodite
Name: AA0918, dtype: object
