basisOfRecord                   LivingSpecimen
decimalLatitude                         348566
decimalLongitude                       6284571
phylum                            Tracheophyta
Class                            Magnoliopsida
order                                Proteales
family                             Platanaceae
genus                                 Platanus
specificEpithet                     orientalis
infraspecificEpithet                       NaN
nameAcordingTo                              L.
verbatimTaxonRank                          NaN
taxonRank                              species
acceptedNameUsage       Platanus orientalis L.
establishmentMeans                     Exótica
sex                              hermaphrodite
Name: AA0874, dtype: object
