basisOfRecord                      LivingSpecimen
decimalLatitude                            348680
decimalLongitude                          6284286
phylum                               Tracheophyta
Class                                   Pinopsida
order                                 Cupressales
family                               Cupressaceae
genus                                   Cupressus
specificEpithet                      sempervirens
infraspecificEpithet                          NaN
nameAcordingTo                                 L.
verbatimTaxonRank                             NaN
taxonRank                                 species
acceptedNameUsage       Cupressus sempervirens L.
establishmentMeans                        Exótica
sex                                           NaN
Name: AA0015, dtype: object
