basisOfRecord                   LivingSpecimen
decimalLatitude                         348541
decimalLongitude                       6284519
phylum                            Tracheophyta
Class                            Magnoliopsida
order                                Proteales
family                             Platanaceae
genus                                 Platanus
specificEpithet                     orientalis
infraspecificEpithet                       NaN
nameAcordingTo                              L.
verbatimTaxonRank                          NaN
taxonRank                              species
acceptedNameUsage       Platanus orientalis L.
establishmentMeans                     Exótica
sex                              hermaphrodite
Name: AA0760, dtype: object
