catalogNumber                                AA1111
basisOfRecord                        LivingSpecimen
decimalLatitude                              348439
decimalLongitude                            6284753
phylum                                 Tracheophyta
Class                                 Magnoliopsida
order                                      Myrtales
family                                    Myrtaceae
genus                                    Eucalyptus
specificEpithet                            globulus
infraspecificEpithet                            NaN
nameAcordingTo                              Labill.
verbatimTaxonRank                               NaN
taxonRank                                   species
acceptedNameUsage       Eucalyptus globulus Labill.
establishmentMeans                          Exótica
locationRemarks                                 NaN
sex                                   hermaphrodite
Name: AA1111, dtype: object
