basisOfRecord                      LivingSpecimen
decimalLatitude                            348682
decimalLongitude                          6284262
phylum                               Tracheophyta
Class                                   Pinopsida
order                                 Cupressales
family                               Cupressaceae
genus                                   Cupressus
specificEpithet                      sempervirens
infraspecificEpithet                          NaN
nameAcordingTo                                 L.
verbatimTaxonRank                             NaN
taxonRank                                 species
acceptedNameUsage       Cupressus sempervirens L.
establishmentMeans                        Exótica
sex                                           NaN
Name: AA0019, dtype: object
