basisOfRecord                           LivingSpecimen
decimalLatitude                                 348544
decimalLongitude                               6284442
phylum                                    Tracheophyta
Class                                    Magnoliopsida
order                                     Malpighiales
family                                      Salicaceae
genus                                            Azara
specificEpithet                           integrifolia
infraspecificEpithet                               NaN
nameAcordingTo                             Ruiz & Pav.
verbatimTaxonRank                                  NaN
taxonRank                                      species
acceptedNameUsage       Azara integrifolia Ruiz & Pav.
establishmentMeans                              Nativa
sex                                      hermaphrodite
Name: AA0459, dtype: object
