basisOfRecord                LivingSpecimen
decimalLatitude                      348559
decimalLongitude                    6284773
phylum                         Tracheophyta
Class                             Pinopsida
order                               Pinales
family                             Pinaceae
genus                                 Pinus
specificEpithet                     radiata
infraspecificEpithet                    NaN
nameAcordingTo                        D.Don
verbatimTaxonRank                       NaN
taxonRank                           species
acceptedNameUsage       Pinus radiata D.Don
establishmentMeans                  Exótica
sex                           hermaphrodite
Name: AA1006, dtype: object
