basisOfRecord                   LivingSpecimen
decimalLatitude                         348475
decimalLongitude                       6284493
phylum                            Tracheophyta
Class                            Magnoliopsida
order                                  Rosales
family                                Rosaceae
genus                                   Prunus
specificEpithet                         dulcis
infraspecificEpithet                       NaN
nameAcordingTo                        D.A.Webb
verbatimTaxonRank                          NaN
taxonRank                              species
acceptedNameUsage       Prunus dulcis D.A.Webb
establishmentMeans                     Exótica
sex                              hermaphrodite
Name: AA0853, dtype: object
