basisOfRecord                         LivingSpecimen
decimalLatitude                               348628
decimalLongitude                             6284184
phylum                                  Tracheophyta
Class                                  Magnoliopsida
order                                       Myrtales
family                                     Myrtaceae
genus                                   Metrosideros
specificEpithet                              excelsa
infraspecificEpithet                             NaN
nameAcordingTo                               Gaertn.
verbatimTaxonRank                                NaN
taxonRank                                    species
acceptedNameUsage       Metrosideros excelsa Gaertn.
establishmentMeans                           Exótica
sex                                    hermaphrodite
Name: AA0185, dtype: object
