catalogNumber                                      AA0553
basisOfRecord                              LivingSpecimen
decimalLatitude                                    348509
decimalLongitude                                  6284426
phylum                                       Tracheophyta
Class                                       Magnoliopsida
order                                            Myrtales
family                                          Myrtaceae
genus                                           Amomyrtus
specificEpithet                                      meli
infraspecificEpithet                                  NaN
nameAcordingTo                         D.Legrand & Kausel
verbatimTaxonRank                                     NaN
taxonRank                                         species
acceptedNameUsage       Amomyrtus meli D.Legrand & Kausel
establishmentMeans                                 Nativa
sex                                         hermaphrodite
Name: AA0553, dtype: object
