basisOfRecord                      LivingSpecimen
decimalLatitude                            348682
decimalLongitude                          6284314
phylum                               Tracheophyta
Class                               Magnoliopsida
order                                     Fagales
family                              Nothofagaceae
genus                                  Nothofagus
specificEpithet                           obliqua
infraspecificEpithet                          NaN
nameAcordingTo                             Oerst.
verbatimTaxonRank                             NaN
taxonRank                                 species
acceptedNameUsage       Nothofagus obliqua Oerst.
establishmentMeans                         Nativa
sex                                 hermaphrodite
Name: AA0184, dtype: object
