basisOfRecord                         LivingSpecimen
decimalLatitude                               348598
decimalLongitude                             6284407
phylum                                  Tracheophyta
Class                                  Magnoliopsida
order                                        Fabales
family                                      Fabaceae
genus                                         Acacia
specificEpithet                                caven
infraspecificEpithet                             NaN
nameAcordingTo                       (Molina) Molina
verbatimTaxonRank                                NaN
taxonRank                                    species
acceptedNameUsage       Acacia caven (Molina) Molina
establishmentMeans                            Nativa
sex                                    hermaphrodite
Name: AA0212, dtype: object
