basisOfRecord                      LivingSpecimen
decimalLatitude                            348624
decimalLongitude                          6284352
phylum                               Tracheophyta
Class                                   Pinopsida
order                                 Cupressales
family                              Araucariaceae
genus                                   Araucaria
specificEpithet                          araucana
infraspecificEpithet                          NaN
nameAcordingTo                             K.Koch
verbatimTaxonRank                             NaN
taxonRank                                 species
acceptedNameUsage       Araucaria araucana K.Koch
establishmentMeans                         Nativa
sex                                           NaN
Name: AA0148, dtype: object
