basisOfRecord                   LivingSpecimen
decimalLatitude                         348291
decimalLongitude                       6284344
phylum                            Tracheophyta
Class                            Magnoliopsida
order                                 Laurales
family                               Lauraceae
genus                                   Persea
specificEpithet                      americana
infraspecificEpithet                       NaN
nameAcordingTo                           Mill.
verbatimTaxonRank                          NaN
taxonRank                              species
acceptedNameUsage       Persea americana Mill.
establishmentMeans                     Exótica
sex                              hermaphrodite
Name: AA1306, dtype: object
