catalogNumber                                                    AA1712
basisOfRecord                                            LivingSpecimen
decimalLatitude                                                  348527
decimalLongitude                                                6284371
phylum                                                     Tracheophyta
Class                                                         Pinopsida
order                                                       Cupressales
family                                                     Cupressaceae
genus                                                      Austrocedrus
specificEpithet                                               chilensis
infraspecificEpithet                                                NaN
nameAcordingTo                                 Pic.Serm. & M.P.Bizzarri
verbatimTaxonRank                                                   NaN
taxonRank                                                       species
acceptedNameUsage       Austrocedrus chilensis Pic.Serm. & M.P.Bizzarri
establishmentMeans                                               Nativa
locationRemarks                                                     NaN
sex                                                                 NaN
Name: AA1712, dtype: object
