catalogNumber                                     AA0503
basisOfRecord                             LivingSpecimen
decimalLatitude                                   348514
decimalLongitude                                 6284429
phylum                                      Tracheophyta
Class                                      Magnoliopsida
order                                  Berberidopsidales
family                                     Aextoxicaceae
genus                                         Aextoxicon
specificEpithet                                punctatum
infraspecificEpithet                                 NaN
nameAcordingTo                               Ruiz & Pav.
verbatimTaxonRank                                    NaN
taxonRank                                        species
acceptedNameUsage       Aextoxicon punctatum Ruiz & Pav.
establishmentMeans                                Nativa
locationRemarks                                      NaN
sex                                                  NaN
Name: AA0503, dtype: object
