catalogNumber                                  AA0351
basisOfRecord                          LivingSpecimen
decimalLatitude                                348633
decimalLongitude                              6284418
phylum                                   Tracheophyta
Class                                   Magnoliopsida
order                                         Fabales
family                                       Fabaceae
genus                                       Geoffroea
specificEpithet                           decorticans
infraspecificEpithet                              NaN
nameAcordingTo                                Burkart
verbatimTaxonRank                                 NaN
taxonRank                                     species
acceptedNameUsage       Geoffroea decorticans Burkart
establishmentMeans                             Nativa
sex                                     hermaphrodite
Name: AA0351, dtype: object
