catalogNumber                          AA0852
basisOfRecord                  LivingSpecimen
decimalLatitude                        348471
decimalLongitude                      6284499
phylum                           Tracheophyta
Class                           Magnoliopsida
order                                 Rosales
family                               Rosaceae
genus                                  Prunus
specificEpithet                       persica
infraspecificEpithet                      NaN
nameAcordingTo                         Stokes
verbatimTaxonRank                         NaN
taxonRank                             species
acceptedNameUsage       Prunus persica Stokes
establishmentMeans                    Exótica
sex                             hermaphrodite
Name: AA0852, dtype: object
