basisOfRecord            LivingSpecimen
decimalLatitude                  348466
decimalLongitude                6284512
phylum                     Tracheophyta
Class                     Magnoliopsida
order                        Sapindales
family                      Sapindaceae
genus                              Acer
specificEpithet                 negundo
infraspecificEpithet                NaN
nameAcordingTo                       L.
verbatimTaxonRank                   NaN
taxonRank                       species
acceptedNameUsage       Acer negundo L.
establishmentMeans              Exótica
sex                       hermaphrodite
Name: AA0668, dtype: object
